FID,OBJECTID,ENTITY,LAYER1,ACTIVE,ROW_ID,COL_ID,ACRES,CELL_INTGR,Diff,Cal
15828,9386,Polyline,1,1,43.000000000000000,140.000000000000000,639.996999999999957,1043140,-0.0024671,0.2114630
15829,7134,Polyline,1,0,32.000000000000000,122.000000000000000,639.996999999999957,1032122,0.0000000,0.0000000
15830,17166,Polyline,1,0,79.000000000000000,199.000000000000000,639.996999999999957,1079199,0.0000000,0.0000000
15831,4625,Polyline,1,0,21.000000000000000,104.000000000000000,639.996999999999957,1021104,0.0000000,0.0000000
15832,14490,Polyline,1,1,68.000000000000000,181.000000000000000,639.996999999999957,1068181,0.0031058,0.1217070
15833,2561,Polyline,1,0,10.000000000000000,86.000000000000000,639.996999999999957,1010086,0.0000000,0.0000000
15834,12364,Polyline,1,1,57.000000000000000,163.000000000000000,639.996999999999957,1057163,0.0193338,0.0472229
15835,10110,Polyline,1,1,46.000000000000000,145.000000000000000,639.996999999999957,1046145,-0.0012247,0.2021020
15836,7549,Polyline,1,1,35.000000000000000,127.000000000000000,639.996999999999957,1035127,-0.0009322,0.1800030
15837,17834,Polyline,1,0,82.000000000000000,204.000000000000000,639.996999999999957,1082204,0.0000000,0.0000000
15838,381,Polyline,1,0,24.000000000000000,109.000000000000000,639.996999999999957,1024109,0.0000000,0.0000000
15839,15375,Polyline,1,0,71.000000000000000,186.000000000000000,639.996999999999957,1071186,0.0000000,0.0000000
15840,3117,Polyline,1,0,13.000000000000000,91.000000000000000,639.996999999999957,1013091,0.0000000,0.0000000
15841,12964,Polyline,1,1,60.000000000000000,168.000000000000000,639.996999999999957,1060168,0.0197120,0.0429714
15842,282,Polyline,1,0,2.000000000000000,73.000000000000000,639.996999999999957,1002073,0.0000000,0.0000000
15843,10839,Polyline,1,1,49.000000000000000,150.000000000000000,639.996999999999957,1049150,0.0029419,0.1363080
15844,8384,Polyline,1,1,38.000000000000000,132.000000000000000,639.996999999999957,1038132,-0.0002073,0.2055390
15845,18251,Polyline,1,0,85.000000000000000,209.000000000000000,639.996999999999957,1085209,0.0000000,0.0000000
